Tweet Id,Text,Sentiment,UTC,Created At,Favorites,Retweets,
1640413566561038338,ras are you in debt,-1,2023-03-27T18:00:46.000Z,Mon Mar 27 18:00:46 +0000 2023,2,0,
1640412154800267264,guys at this rate of releasing season mixes I'm not gonna have anything to listen to on my flight to ras 😭,0,2023-03-27T17:55:09.000Z,Mon Mar 27 17:55:09 +0000 2023,2,0,
1640412115277320198,how do I practice this philthy set if they haven't dropped their mix  😤,0,2023-03-27T17:55:00.000Z,Mon Mar 27 17:55:00 +0000 2023,0,0,
1640412092569358336,O G KUSH WHERE ARE YOUR MIXES,0,2023-03-27T17:54:54.000Z,Mon Mar 27 17:54:54 +0000 2023,0,0,
1640412074378670080,Is there a reason I can’t drunk watch Rangeelo videos on the beach this spring break smh,0,2023-03-27T17:54:50.000Z,Mon Mar 27 17:54:50 +0000 2023,0,0,
1640412042028023809,RAS pls don’t make y’all’s liaisons look like minions this time,0,2023-03-27T17:54:42.000Z,Mon Mar 27 17:54:42 +0000 2023,1,0,
1640412019324227585,please release pics drd,0,2023-03-27T17:54:37.000Z,Mon Mar 27 17:54:37 +0000 2023,0,0,
1640411999661338624,the ras crests don't look good anyways but they don't even match this year's branding style 😭,-1,2023-03-27T17:54:32.000Z,Mon Mar 27 17:54:32 +0000 2023,0,0,
1640411976777236480,comps with 3 directors>>,1,2023-03-27T17:54:27.000Z,Mon Mar 27 17:54:27 +0000 2023,0,0,
1640411959391838208,RAS this year is gonna be so ass with all these rules and fees,-1,2023-03-27T17:54:23.000Z,Mon Mar 27 17:54:23 +0000 2023,0,0,
1640411936528687104,There once was a day where I too dreamed of reposting the crest on my story with 😏,-1,2023-03-27T17:54:17.000Z,Mon Mar 27 17:54:17 +0000 2023,0,0,
1640411914173026304,RAS crests are mad ugly😭,-1,2023-03-27T17:54:12.000Z,Mon Mar 27 17:54:12 +0000 2023,0,0,
1640411889900593153,Someone on RAS name is yakky?,0,2023-03-27T17:54:06.000Z,Mon Mar 27 17:54:06 +0000 2023,17,0,
1640411868606128128,Why the hell are RAS tickets so expensive like who’s paying 90 dollars to go to the show and AP 😭,-1,2023-03-27T17:54:01.000Z,Mon Mar 27 17:54:01 +0000 2023,0,0,
1640411847244533761,Girl with the pink dress at masti ap wya??,0,2023-03-27T17:53:56.000Z,Mon Mar 27 17:53:56 +0000 2023,0,0,
1640411826482720769,Can we get Durex or Trojan as circuit sponsors,-2,2023-03-27T17:53:51.000Z,Mon Mar 27 17:53:51 +0000 2023,1,0,
1640411807906144256,Ummm .. the ras crests have to be a joke right.. they are not good,-1,2023-03-27T17:53:47.000Z,Mon Mar 27 17:53:47 +0000 2023,0,0,
1640411783293997056,"I’m brining a pallet of plan B to RAS, I know yall gonna need some just come grab one",-2,2023-03-27T17:53:41.000Z,Mon Mar 27 17:53:41 +0000 2023,0,0,
1640411637088911361,"Shoulda, coulda, woulda, the seasons done and I hate you people",-1,2023-03-27T17:53:06.000Z,Mon Mar 27 17:53:06 +0000 2023,1,0,
1640411615198838785,Disappointed about how expensive RAS is…,0,2023-03-27T17:53:01.000Z,Mon Mar 27 17:53:01 +0000 2023,0,0,
1640411594395095041,RAS WTF are you on??? $45 for a just a show ticket???,-1,2023-03-27T17:52:56.000Z,Mon Mar 27 17:52:56 +0000 2023,1,0,
1640411570919591936,"whys is RAS and Legends both $90, i was tryna go to both but now cant even go to one",-1,2023-03-27T17:52:50.000Z,Mon Mar 27 17:52:50 +0000 2023,0,0,
1640411551726473217,RAS money laundering fr 😵,-1,2023-03-27T17:52:45.000Z,Mon Mar 27 17:52:45 +0000 2023,0,0,
1640411534198464518,$90 is mad,-1,2023-03-27T17:52:41.000Z,Mon Mar 27 17:52:41 +0000 2023,1,1,
1640411513994485761,I had so much fun with WashU Vinay,1,2023-03-27T17:52:36.000Z,Mon Mar 27 17:52:36 +0000 2023,0,0,
1640411493039755264,if im paying $90 for tickets at RAS then i better get a trophy with my name engraved on it as soon as i walk in,0,2023-03-27T17:52:31.000Z,Mon Mar 27 17:52:31 +0000 2023,1,0,
1638600412780527616,Manager esan will you be at ras,0,2023-03-22T17:55:56.000Z,Wed Mar 22 17:55:56 +0000 2023,0,0,
1638600389426573319,RAS dropping tickets 2 weeks before show is crazy,-1,2023-03-22T17:55:51.000Z,Wed Mar 22 17:55:51 +0000 2023,0,0,
1638600352818667521,ras show and ap ticket is more than most reg fees…,0,2023-03-22T17:55:42.000Z,Wed Mar 22 17:55:42 +0000 2023,0,0,
1638598786501976065,"nakhraas caps in guys solo go absolutely bonkers, my team has watched that solo 100000x this week",1,2023-03-22T17:49:29.000Z,Wed Mar 22 17:49:29 +0000 2023,8,0,
1638598764062449686,so dissapointed with RAS. $90 for show and afterparty is insane. my entire team wanted to come watch but now no one can.,0,2023-03-22T17:49:23.000Z,Wed Mar 22 17:49:23 +0000 2023,0,0,
1638598742260457500,RAS swindling,-1,2023-03-22T17:49:18.000Z,Wed Mar 22 17:49:18 +0000 2023,0,0,
1638598448248135697,This barrel roll somersault needs to be in a boys solo next year someone take notes:   https://t.co/7r1ciq2Qat,1,2023-03-22T17:48:08.000Z,Wed Mar 22 17:48:08 +0000 2023,2,0,
1638598422113529856,"All board listening next year, to be honest an easy way to completely boost ur comp is to order 1. enough food 2. good food. TRUST ME",0,2023-03-22T17:48:02.000Z,Wed Mar 22 17:48:02 +0000 2023,4,0,
1638598395722883074,please normalize taco bell given at comps,0,2023-03-22T17:47:55.000Z,Wed Mar 22 17:47:55 +0000 2023,3,0,
1638598373711159306,i want to rage text people on my team when i watch the back row videos of us,0,2023-03-22T17:47:50.000Z,Wed Mar 22 17:47:50 +0000 2023,1,0,
1638598346292994066,peej natel,0,2023-03-22T17:47:44.000Z,Wed Mar 22 17:47:44 +0000 2023,1,0,
